2015-11-16 16:01:19 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/vrc/data/jdo/Feedback.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.vrc.data.jdo.Feedback
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/vrc/data/jdo/NumberDate.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.vrc.data.jdo.NumberDate
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/vrc/data/jdo/AppDetail.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.vrc.data.jdo.AppDetail
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/question/WordOfQuestion.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.question.WordOfQuestion
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/test/Test.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.test.Test
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/level/Level.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.level.Level
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/vrc/data/jdo/AcousticModelVersion.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.vrc.data.jdo.AcousticModelVersion
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/vrc/data/jdo/UserVoiceModel.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.vrc.data.jdo.UserVoiceModel
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/question/Question.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.question.Question
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/word/WordCollection.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.word.WordCollection
